system:index,date,gndvi,.geo
20190906T032539_20190906T034254_T47NQD,2019-09-06,0.3320019709799636,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190906T032539_20190906T034254_T47NQE,2019-09-06,0.2933132960094988,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190911T032541_20190911T034449_T47NQD,2019-09-11,0.054968127057165854,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190911T032541_20190911T034449_T47NQE,2019-09-11,0.005246217759987384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916T032539_20190916T034606_T47NQD,2019-09-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190916T032539_20190916T034606_T47NQE,2019-09-16,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190921T032541_20190921T034328_T47NQD,2019-09-21,0.15253317697493474,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190921T032541_20190921T034328_T47NQE,2019-09-21,0.05419272100889635,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190926T032539_20190926T033850_T47NQD,2019-09-26,0.3343810566902102,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190926T032539_20190926T033850_T47NQE,2019-09-26,0.28379587795322,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001T032541_20191001T034434_T47NQD,2019-10-01,0.5231620710865146,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191001T032541_20191001T034434_T47NQE,2019-10-01,0.47604623248425937,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191006T032609_20191006T034350_T47NQD,2019-10-06,0.35847868849070114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191006T032609_20191006T034350_T47NQE,2019-10-06,0.28757349204821764,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011T032651_20191011T034152_T47NQD,2019-10-11,0.5473121637857751,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191011T032651_20191011T034152_T47NQE,2019-10-11,0.5203298017802498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191016T032719_20191016T034524_T47NQD,2019-10-16,0.6377730317906407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191016T032719_20191016T034524_T47NQE,2019-10-16,0.6283755819123389,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191021T032751_20191021T033259_T47NQD,2019-10-21,0.2827008962599928,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191021T032751_20191021T033259_T47NQE,2019-10-21,0.2732857977847137,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191026T032819_20191026T034646_T47NQD,2019-10-26,0.6329203758768923,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191026T032819_20191026T034646_T47NQE,2019-10-26,0.624297910793224,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031T032851_20191031T033502_T47NQD,2019-10-31,0.6149807187103185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031T032851_20191031T033502_T47NQE,2019-10-31,0.6320486634773727,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191105T032919_20191105T034656_T47NQD,2019-11-05,0.5185781261788138,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191105T032919_20191105T034656_T47NQE,2019-11-05,0.5189890437394222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110T032951_20191110T034152_T47NQD,2019-11-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191110T032951_20191110T034152_T47NQE,2019-11-10,,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191115T033009_20191115T034503_T47NQD,2019-11-15,0.17377671471132544,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191115T033009_20191115T034503_T47NQE,2019-11-15,0.13828887254762437,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120T033031_20191120T033655_T47NQD,2019-11-20,0.26204132701364496,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191120T033031_20191120T033655_T47NQE,2019-11-20,0.27065793823235307,"{""type"":""MultiPoint"",""coordinates"":[]}"
